product_id,vendor_id,vendor,title,status,current_brand_id,current_brand_name,current_licenses,classification,suggested_brand_id,suggested_brand_name,suggested_license_id,suggested_license_name,brand_confidence,license_confidence,evidence,recommended_action,will_auto_fix,reason
"d6436dff-23cf-44dc-a082-5047d931c4c4","2f619f21-5fae-4874-8c77-6b28f46eb845","Tienda-testing","99 Nights in the Forest - Minifiguras- Serie 1 - Incluye códigos DLC canjeables en Roblox","published","7fb95fff-e06e-4761-b000-a38e1661b001","PhatMojo","","VALID_BRAND","","","232c01a8-c01e-40af-8886-f7195380b48f","Roblox","0.95","0.9","TITLE_LICENSE_MATCH:Roblox","AUTO_ASSIGN_LICENSE","FALSE","Marca/Fabricante válida y aprobada."
"3f91bfe2-8434-43eb-a7a4-9b880fa7c0bb","2f619f21-5fae-4874-8c77-6b28f46eb845","Tienda-testing","PhatMojo","published","7fb95fff-e06e-4761-b000-a38e1661b001","PhatMojo","","VALID_BRAND","","","","","0.95","0","TITLE_MANUFACTURER_MATCH:PhatMojo","KEEP","FALSE","Marca/Fabricante válida y aprobada."
"c7475b6b-2afa-4cb5-b721-1b8f47cd0116","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","Figura De Acción Glamrock Fred Security Breach 47490 De Funko","published","1cbd2abc-1508-40c4-8823-9806998979e3","Funko","","VALID_BRAND","","","","","0.95","0","TITLE_MANUFACTURER_MATCH:Funko","KEEP","FALSE","Marca/Fabricante válida y aprobada."
"e22134b6-3bcb-42c9-a4f5-f8f1f05cf809","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","Mace Windu Star Wars Attack Of The Clones Vintage Hasbro ","published","0df4aeab-c5e9-4d35-8a9b-e63f391d5a57","Hasbro","","VALID_BRAND","","","1d4ebf30-350d-4336-9058-90689b87700a","Star Wars","0.95","0.9","TITLE_LICENSE_MATCH:Star Wars;TITLE_MANUFACTURER_MATCH:Hasbro","AUTO_ASSIGN_LICENSE","FALSE","Marca/Fabricante válida y aprobada."
"35afb05e-001c-405d-9ab2-c1a5552c0f47","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","Darkstar Marvel Legends Ursa Major Baf Hasbro","published","0df4aeab-c5e9-4d35-8a9b-e63f391d5a57","Hasbro","","VALID_BRAND","","","39af7eed-0ae2-4c7f-ac30-107d20957036","Marvel","0.95","0.9","TITLE_LICENSE_MATCH:Marvel;TITLE_MANUFACTURER_MATCH:Hasbro","AUTO_ASSIGN_LICENSE","FALSE","Marca/Fabricante válida y aprobada."
"b3c8c811-c0c4-4b0f-9ac7-40de15684f97","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","Once Eleven With Eggo Stranger Things 421 Funko Pop","published","1cbd2abc-1508-40c4-8823-9806998979e3","Funko","","VALID_BRAND","","","","","0.95","0","TITLE_MANUFACTURER_MATCH:Funko","KEEP","FALSE","Marca/Fabricante válida y aprobada."
"daef9acc-bf2c-46fc-b23a-d66afb1d15d0","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","The Creep Ultimate Creepshow 40th Anniversary Neca","published","43edaabc-3910-45ab-b93d-857698fad50b","NECA","","VALID_BRAND","","","","","0.95","0","TITLE_MANUFACTURER_MATCH:NECA","KEEP","FALSE","Marca/Fabricante válida y aprobada."
"87942584-a107-45f1-a680-aa5bbcc22a10","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","Shadow Knuckles Buzz Drone Sonic 3 La Película Jakks Pacific","published","4c557954-aa44-444a-96c8-f1c714d5847f","Jakks Pacific","","VALID_BRAND","","","e0b9f1da-0b23-4007-905a-8c6ce242d445","Sonic","0.95","0.9","TITLE_LICENSE_MATCH:Sonic;TITLE_MANUFACTURER_MATCH:Jakks Pacific","AUTO_ASSIGN_LICENSE","FALSE","Marca/Fabricante válida y aprobada."
"335e4123-4cf1-493e-bab1-1c9a4089b5ae","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","Speed Force Flash Justice League 2021 Dc Mcfarlane","published","c2451c65-4354-4955-8afd-ad4bffecd26c","Mcfarlane","","VALID_BRAND","","","8956afcb-0f0d-4be9-b26e-3d9ff47ebc1b","DC","0.95","0.9","TITLE_LICENSE_MATCH:DC;TITLE_MANUFACTURER_MATCH:McFarlane Toys","AUTO_ASSIGN_LICENSE","FALSE","Marca/Fabricante válida y aprobada."
"65dd7af5-b301-4c03-b210-47cd84a40619","61a48094-7453-4b7f-9563-e51f184832f9","JorgiToys","Jalapeño Plantas Vs Zombies Peluche 18cm","published","","","","MISSING_BRAND","","","","","0","0","","REQUIRES_VENDOR_ATTENTION","FALSE","El producto no posee marca asignada (brand_id es NULL)."
